"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Every day",,,
"AM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Every day",535,240,1191
"Midday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Every day",634,288,1395
"PM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Every day",748,285,1960
"Evening","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Every day",366,157,857
"Early Morning","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Every day",267,127,563
