"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2017 - 6/30/2017, Every day",,,
"AM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2017 - 6/30/2017, Every day",540,248,1174
"Midday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2017 - 6/30/2017, Every day",605,272,1342
"PM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2017 - 6/30/2017, Every day",776,295,2042
"Evening","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2017 - 6/30/2017, Every day",381,162,894
"Early Morning","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2017 - 6/30/2017, Every day",265,124,566
