"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"02/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",574,255,1291,674,338,1342,875,405,1891,601,310,1163,314,143,688,272,135,546
"02/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",604,264,1384,630,317,1253,839,358,1968,696,348,1392,294,142,606,343,163,719
"02/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",599,251,1429,616,296,1281,782,308,1984,704,339,1465,397,171,923,263,128,542
"02/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",523,225,1215,616,322,1178,655,270,1589,634,313,1283,342,156,748,305,134,693
"02/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",327,147,730,283,153,525,285,133,609,448,195,1027,292,139,613,239,112,510
"02/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",281,132,598,236,129,431,294,140,616,342,158,738,277,135,566,230,108,492
"02/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",647,276,1512,773,395,1514,881,373,2079,714,364,1402,342,151,772,295,142,612
"02/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",695,283,1705,826,416,1639,979,437,2193,749,337,1663,486,197,1200,278,129,598
"02/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",541,231,1264,674,371,1222,751,319,1764,601,273,1320,294,140,616,312,146,667
"02/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",577,241,1379,571,256,1272,863,392,1903,682,324,1436,348,154,785,257,128,515
"02/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",567,243,1322,616,288,1316,883,357,2179,578,271,1231,451,201,1011,370,156,877
"02/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",398,174,908,294,139,619,458,208,1006,573,274,1197,321,148,694,266,123,578
"02/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",265,124,563,238,114,497,257,115,570,319,153,665,267,131,545,222,106,465
"02/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",519,215,1250,645,282,1475,720,284,1825,551,260,1169,320,140,730,284,133,608
"02/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",609,251,1474,765,420,1391,987,415,2345,594,282,1249,356,142,889,264,127,548
"02/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",555,235,1311,682,393,1182,683,309,1510,618,279,1368,326,143,738,351,144,852
"02/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",557,221,1400,631,276,1441,832,375,1843,618,251,1518,331,145,756,307,143,660
"02/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",541,229,1279,541,249,1176,693,293,1640,672,305,1482,375,170,827,288,139,597
"02/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",437,192,995,555,270,1144,402,206,783,639,332,1233,305,144,645,243,121,488
"02/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",278,127,607,241,118,491,306,137,681,331,138,794,247,124,489,251,118,534
"02/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",568,244,1318,640,308,1328,807,374,1744,639,316,1292,309,144,664,280,125,627
"02/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",644,285,1452,675,328,1388,878,434,1776,714,357,1428,401,177,910,304,140,659
"02/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",687,275,1718,786,370,1669,1090,440,2702,689,299,1591,462,194,1099,337,149,760
"03/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",651,247,1712,652,334,1272,996,495,2004,822,298,2271,398,177,897,299,136,653
"03/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",586,246,1397,730,390,1367,805,363,1784,697,317,1531,370,166,824,284,135,594
"03/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",403,175,930,318,160,630,418,193,903,606,271,1355,311,151,638,248,117,526
"03/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",310,140,686,244,120,496,362,162,809,397,186,845,265,124,565,257,118,557
"03/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",538,224,1290,600,243,1483,858,428,1722,559,266,1175,331,136,800,295,134,649
"03/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",557,239,1295,564,284,1117,657,303,1425,668,300,1487,327,149,716,313,145,677
"03/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",576,252,1314,549,264,1141,919,398,2123,623,317,1221,363,160,824,320,148,689
"03/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",653,272,1562,751,387,1454,934,408,2135,742,366,1506,339,157,731,292,122,700
"03/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",633,268,1493,618,303,1263,977,444,2150,762,345,1682,387,182,822,323,151,692
"03/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",356,159,796,288,150,553,309,137,698,506,236,1082,317,149,675,265,124,564
"03/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",264,125,558,251,109,577,261,129,530,297,145,607,266,127,557,237,111,505
"03/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",512,219,1196,635,336,1198,750,299,1879,511,230,1135,308,146,649,295,136,641
"03/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",633,260,1537,794,381,1654,1018,408,2538,628,296,1333,336,149,759,332,135,813
"03/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",518,222,1207,604,261,1396,667,255,1745,565,275,1160,311,148,652,342,156,749
"03/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",489,198,1204,575,239,1384,698,309,1576,565,241,1325,299,139,640,261,122,557
"03/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",563,239,1326,533,270,1052,776,349,1722,671,324,1389,416,174,991,306,132,709
"03/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",377,170,835,331,181,608,362,169,775,557,281,1104,284,137,588,251,119,531
"03/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",269,127,570,211,105,427,287,143,574,323,155,676,300,139,643,188,96,368
"03/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",529,223,1254,682,372,1249,737,315,1719,543,250,1176,346,142,844,259,119,563
"03/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",577,252,1321,640,309,1327,906,417,1966,599,289,1240,331,144,756,298,153,583
"03/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",607,265,1386,554,281,1090,1104,535,2279,642,320,1288,371,163,841,379,170,843
"03/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",609,255,1451,719,362,1429,845,351,2034,679,324,1424,347,155,779,267,128,556
"03/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",642,277,1487,701,374,1315,1166,544,2501,607,297,1240,531,223,1267,313,138,711
"03/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",403,175,924,382,191,763,406,186,884,533,255,1117,385,170,867,232,108,499
"03/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",284,131,614,260,139,485,269,128,567,358,160,796,295,142,612,221,104,469
"03/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",512,226,1160,575,281,1175,852,424,1709,505,236,1082,325,149,707,310,152,632
"03/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",572,251,1300,570,297,1097,913,419,1990,595,274,1289,414,185,924,285,133,611
"03/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",636,272,1486,677,319,1435,840,358,1975,746,361,1539,403,178,910,317,153,658
"03/29/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",585,256,1337,588,290,1193,817,335,1989,654,309,1383,417,201,861,258,120,555
"03/30/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",539,233,1246,620,288,1334,675,325,1401,626,290,1349,366,166,809,325,143,740
