"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Every day",,,
"AM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Every day",535,238,1205
"Midday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Every day",649,289,1460
"PM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Every day",800,303,2107
"Evening","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Every day",419,172,1021
"Early Morning","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Every day",276,130,587
