"Day Of Week","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Monday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",603,247,1471
"Tuesday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",602,251,1447
"Wednesday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",623,265,1464
"Thursday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",591,247,1410
"Friday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",588,249,1387
"Saturday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",413,176,970
"Sunday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2018 - 3/28/2018, Daily Average",284,132,609
