"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"04/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",661,272,1608,738,329,1651,1047,516,2123,699,324,1506,395,171,910,250,121,514
"04/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",643,281,1471,681,346,1342,912,459,1815,723,349,1497,388,172,877,307,144,655
"04/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",710,276,1825,700,302,1623,1082,421,2779,878,410,1879,418,173,1007,313,150,653
"04/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",682,278,1674,771,364,1630,998,417,2388,750,345,1630,539,220,1318,327,146,731
"04/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",408,178,936,331,175,624,442,216,902,664,313,1409,270,134,546,218,113,422
"04/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",280,133,593,239,121,472,274,126,595,328,164,658,271,127,579,258,121,548
"04/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",651,268,1581,618,351,1089,1138,457,2832,712,352,1441,399,162,984,275,122,618
"04/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",686,284,1658,512,247,1061,884,376,2080,850,390,1855,528,217,1285,276,128,596
"04/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",634,286,1407,576,314,1055,903,398,2048,683,351,1326,518,218,1227,335,144,779
"04/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",755,314,1813,596,309,1150,1216,542,2731,822,415,1627,680,275,1676,288,126,657
"04/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",294,141,612,281,149,529,298,127,695,301,152,595,267,129,552,312,146,667
"04/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",268,128,561,279,154,507,284,140,577,311,138,701,233,122,444,234,105,519
"04/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",246,122,496,224,106,474,238,127,445,270,132,550,265,128,548,213,109,414
"04/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",251,125,500,272,146,506,225,125,404,266,123,577,257,129,510,233,119,454
"04/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",603,262,1390,609,344,1078,921,409,2075,606,269,1361,533,224,1268,316,143,698
"04/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",642,287,1434,787,438,1415,881,423,1835,647,331,1262,402,169,955,405,172,956
"04/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",567,242,1328,548,288,1046,926,385,2225,651,316,1340,391,167,915,235,119,463
"04/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",509,216,1197,535,252,1134,813,335,1974,558,270,1153,331,144,760,304,132,700
"04/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",363,165,802,409,197,848,343,166,708,486,233,1012,302,148,619,211,104,428
"04/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",250,123,507,221,112,435,262,133,514,305,154,600,245,120,498,206,104,407
"04/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",450,196,1029,456,221,941,717,275,1866,476,239,949,320,141,725,287,135,611
"04/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",498,220,1126,555,278,1107,706,312,1600,542,277,1058,325,143,740,261,120,567
"04/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",471,198,1119,502,222,1133,671,281,1603,520,231,1172,273,128,580,354,154,812
"04/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",468,200,1094,519,239,1128,583,245,1386,541,241,1214,297,136,651,262,134,512
"04/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",695,288,1676,509,260,996,1315,569,3035,749,356,1576,625,250,1562,303,136,672
"04/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",477,207,1102,343,170,694,414,182,941,669,341,1312,510,223,1165,255,127,512
"04/29/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",274,133,567,221,100,492,286,150,545,336,159,712,251,127,492,237,116,487
"04/30/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",301,140,646,288,144,577,339,153,749,293,138,621,315,147,673,259,123,546
"05/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",771,301,1974,608,263,1406,1399,512,3823,738,349,1557,752,257,2205,291,137,616
"05/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",706,295,1691,752,379,1492,1104,471,2588,764,368,1588,439,182,1058,331,145,754
"05/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",697,282,1720,600,286,1254,1220,542,2744,701,323,1517,600,217,1655,265,132,534
"05/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",742,307,1797,657,311,1388,1106,551,2218,898,377,2137,539,247,1175,315,146,678
"05/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",450,195,1041,370,193,707,443,206,954,658,322,1344,337,158,717,262,121,568
"05/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",277,134,572,248,124,494,308,149,636,331,166,662,249,124,501,232,112,479
"05/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",707,275,1817,596,285,1247,1340,592,3031,665,293,1504,726,226,2329,288,140,592
"05/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",640,266,1538,579,273,1230,976,382,2489,699,332,1474,479,199,1154,275,120,631
"05/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",572,250,1311,639,318,1285,822,384,1762,619,306,1248,320,141,724,328,159,676
"05/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",540,239,1218,552,254,1197,810,359,1828,602,312,1161,340,154,746,248,127,485
"05/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",532,230,1229,546,264,1129,697,320,1515,632,304,1312,369,162,837,333,147,754
"05/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",350,157,781,300,140,640,335,155,724,484,230,1017,303,142,645,247,119,514
"05/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",260,130,521,227,113,453,282,135,587,284,155,520,260,127,529,239,117,484
"05/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",537,225,1281,648,374,1121,779,315,1925,554,240,1279,311,140,692,283,139,575
"05/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",590,237,1468,605,266,1373,980,421,2281,612,266,1405,363,154,852,282,140,567
"05/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",628,255,1547,619,307,1248,1108,523,2349,618,282,1354,410,161,1044,289,121,690
"05/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",609,257,1439,636,318,1273,990,482,2034,627,314,1251,395,163,954,238,103,547
"05/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",578,244,1369,569,255,1265,927,431,1996,627,289,1359,431,187,993,311,147,658
"05/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",369,163,834,389,168,897,333,170,654,490,218,1101,314,146,678,260,127,535
"05/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",291,137,621,264,134,518,281,143,553,370,169,807,265,125,562,239,117,487
"05/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",553,237,1288,694,376,1282,879,367,2105,514,245,1076,427,173,1053,269,133,542
"05/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",556,239,1290,505,240,1063,939,352,2500,582,290,1167,362,163,801,306,124,754
"05/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",559,241,1297,544,275,1074,998,422,2359,581,275,1229,374,169,827,257,120,550
"05/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",578,236,1415,544,273,1086,1007,445,2281,645,287,1448,302,141,648,294,134,642
"05/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",575,244,1358,620,312,1232,868,424,1776,607,296,1246,408,166,1000,353,143,871
"05/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",378,165,863,360,171,758,333,152,731,544,257,1154,287,138,598,257,120,548
"05/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",290,135,621,211,120,371,406,179,919,338,165,691,257,127,522,222,106,465
"05/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",575,238,1389,613,355,1056,905,429,1910,616,275,1376,341,133,877,255,119,544
