"Day Of Week","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Monday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",545,223,1332
"Tuesday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",564,227,1398
"Wednesday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",548,227,1319
"Thursday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",596,245,1453
"Friday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",535,220,1303
"Saturday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",395,172,907
"Sunday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Daily Average",283,131,610
