"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Every day",,,
"AM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Every day",510,226,1150
"Midday","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Every day",577,250,1329
"PM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Every day",666,252,1757
"Evening","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Every day",389,163,929
"Early Morning","258","Westlands, Nairobi","192","Central Business District, Nairobi","9/30/2017 - 12/29/2017, Every day",277,128,599
