"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"04/22/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",582,244,1386,623,312,1243,760,334,1731,654,293,1458,331,144,759,308,140,677
"04/23/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",659,278,1564,714,323,1581,851,355,2036,738,366,1487,404,169,961,287,134,615
"04/24/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",746,315,1768,671,335,1347,1073,505,2278,853,406,1794,496,199,1235,347,161,747
"04/25/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",637,273,1483,683,407,1144,795,338,1869,742,344,1600,420,180,978,263,136,508
"04/26/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",723,306,1709,631,296,1344,1005,489,2062,857,429,1714,557,220,1408,320,150,682
"04/27/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",453,195,1048,388,181,832,439,224,860,682,334,1395,304,146,635,285,128,631
"04/28/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",274,128,583,288,125,664,304,144,639,273,127,587,278,131,593,240,119,483
"04/29/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",717,290,1770,636,293,1379,1186,528,2662,768,353,1668,532,203,1392,290,145,583
"04/30/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",279,131,593,240,113,512,301,131,690,300,142,631,278,135,573,226,113,453
"05/01/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",905,365,2241,658,320,1353,1298,492,3421,892,400,1992,1171,428,3209,313,150,651
"05/02/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",811,324,2031,592,273,1279,1312,594,2894,805,384,1686,986,312,3112,292,141,601
"05/03/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",701,275,1785,606,277,1326,1055,463,2403,860,370,1995,412,176,964,300,140,641
"05/04/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",400,170,943,371,177,778,409,193,864,548,244,1228,283,131,610,267,113,630
"05/05/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",281,133,594,279,120,644,322,155,671,285,137,590,305,145,639,219,110,434
"05/06/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",846,357,2004,639,323,1263,1328,573,3075,869,434,1743,873,314,2428,319,145,698
"05/07/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",743,318,1737,648,343,1221,1334,620,2867,758,377,1522,500,207,1206,297,136,648
"05/08/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",721,292,1778,658,346,1252,1247,445,3492,827,413,1657,441,172,1129,289,140,598
"05/09/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",681,279,1662,489,240,997,1240,525,2925,731,347,1540,551,204,1487,269,136,532
"05/10/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",753,305,1858,650,320,1319,1220,535,2780,722,342,1523,798,274,2324,326,150,708
"05/11/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",471,205,1081,365,185,718,561,257,1225,625,307,1271,384,165,892,252,124,511
"05/12/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",285,133,610,272,112,661,288,136,608,330,155,702,260,129,521,249,121,513
"05/13/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",639,277,1472,616,303,1253,785,336,1829,744,358,1545,400,175,912,297,148,598
"05/14/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",694,299,1607,623,363,1069,1168,539,2527,756,360,1588,442,194,1007,281,139,568
"05/15/2018","258","Westlands, Nairobi","192","Central Business District, Nairobi",723,312,1676,637,292,1392,1038,435,2476,786,406,1519,582,226,1494,371,168,815
