"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"08/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",239,119,479,234,130,421,219,125,384,246,120,505,237,115,487,263,106,651
"08/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",262,121,567,270,130,563,215,109,423,279,135,574,240,96,602,269,117,620
"08/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",255,121,534,270,131,558,239,127,451,265,128,547,237,109,513,273,123,606
"08/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",222,109,454,164,78,345,198,113,347,216,104,450,240,120,480,249,113,545
"08/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",428,194,942,358,192,666,817,285,2343,397,214,735,352,155,801,276,128,594
"08/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",359,172,746,357,195,655,611,246,1519,332,180,611,288,137,604,265,116,603
"08/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",464,219,984,438,239,800,739,301,1813,511,274,953,261,132,517,299,145,617
"08/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",502,216,1170,467,241,905,801,286,2242,550,260,1164,326,148,716,222,119,413
"08/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",464,205,1051,496,259,951,594,213,1657,543,263,1119,295,142,612,287,141,584
"08/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",320,152,672,286,156,522,318,162,626,394,177,874,283,142,565,242,120,490
"08/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",273,131,567,296,136,643,247,126,485,313,153,640,300,142,632,212,107,420
"08/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",526,226,1222,627,340,1157,953,407,2228,508,234,1103,295,142,614,268,132,545
"08/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",542,241,1218,473,290,770,787,319,1940,620,305,1257,317,138,726,236,124,448
"08/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",699,263,1855,476,242,936,1667,685,4059,534,227,1259,702,244,2020,228,125,418
"08/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",529,228,1229,404,225,724,1092,460,2587,558,277,1122,303,134,686,252,129,493
"08/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",556,232,1329,433,235,799,1006,417,2428,664,322,1368,329,144,752,289,140,595
"08/25/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",347,153,787,310,153,627,373,145,960,438,209,917,291,130,647,250,121,517
"08/26/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",293,137,630,250,124,501,331,146,750,394,186,833,242,124,473,212,107,419
"08/27/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",564,227,1399,448,179,1121,1252,510,3074,565,274,1163,317,146,687,255,124,525
"08/28/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",575,235,1406,580,249,1346,799,345,1847,652,289,1468,312,138,703,250,133,469
"08/29/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",619,265,1447,493,267,909,1196,475,3013,599,306,1171,435,170,1114,338,146,781
"08/30/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",639,271,1506,467,243,898,1022,452,2312,708,338,1485,505,194,1316,253,127,501
"08/31/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",371,170,805,405,213,768,426,204,889,442,207,943,273,126,591,269,130,554
"09/01/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",333,158,702,307,164,576,318,152,668,427,214,852,272,134,550,268,128,561
"09/02/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",267,131,543,246,128,474,311,161,601,311,153,630,238,114,493,225,114,444
"09/03/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",686,273,1723,568,275,1174,1333,491,3614,706,330,1509,477,188,1204,230,128,412
"09/04/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",668,277,1607,660,295,1477,984,397,2439,704,367,1350,454,166,1243,280,138,566
"09/05/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",647,276,1512,632,354,1130,988,399,2447,693,329,1463,482,184,1260,281,147,535
"09/06/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",613,268,1398,580,317,1058,1027,516,2044,662,334,1312,336,149,756,238,122,466
"09/07/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",643,267,1546,672,375,1203,989,418,2342,767,378,1559,361,161,810,269,133,542
"09/08/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",347,155,773,368,196,689,388,169,890,454,217,950,261,121,564,226,112,452
"09/09/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",265,126,554,242,116,502,282,140,567,321,154,668,236,115,485,227,110,465
"09/10/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",566,239,1336,607,316,1165,893,349,2279,599,283,1271,419,176,994,310,143,673
"09/11/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",638,266,1528,656,361,1189,855,308,2373,710,350,1440,396,154,1018,283,144,555
"09/12/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",610,249,1491,624,330,1178,976,359,2653,758,360,1597,364,155,854,262,129,534
"09/13/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",574,237,1387,619,283,1353,909,422,1956,629,307,1289,314,137,718,249,125,497
"09/14/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",573,236,1389,572,247,1325,704,262,1891,692,346,1384,423,171,1041,288,131,634
"09/15/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",339,154,749,291,153,554,377,176,806,457,222,940,242,120,487,243,106,552
"09/16/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",268,125,571,230,119,444,256,127,515,307,145,649,264,123,562,244,109,544
"09/17/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",565,238,1340,702,331,1491,812,383,1721,587,274,1256,271,127,577,252,129,493
"09/18/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",582,250,1357,731,387,1383,776,378,1593,617,281,1354,345,161,739,255,121,537
"09/19/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",513,211,1248,671,271,1658,670,315,1423,537,235,1228,265,119,592,322,154,675
"09/20/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",654,290,1471,707,374,1334,948,474,1897,739,396,1376,393,174,884,248,123,498
"09/21/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",551,244,1241,646,323,1291,615,285,1325,608,283,1309,451,202,1005,322,144,718
"09/22/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",343,158,745,300,156,575,311,160,604,504,243,1046,291,137,615,232,116,464
"09/23/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",249,119,518,204,107,387,249,132,467,284,136,589,266,118,597,216,105,442
"09/24/2017","258","Westlands, Nairobi","192","Central Business District, Nairobi",474,213,1051,574,275,1198,633,245,1634,491,244,989,308,149,632,241,127,458
