"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","258","Westlands, Nairobi","192","Central Business District, Nairobi","7/1/2017 - 9/30/2017, Every day",,,
"AM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","7/1/2017 - 9/30/2017, Every day",494,228,1070
"Midday","258","Westlands, Nairobi","192","Central Business District, Nairobi","7/1/2017 - 9/30/2017, Every day",553,250,1222
"PM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","7/1/2017 - 9/30/2017, Every day",741,275,1994
"Evening","258","Westlands, Nairobi","192","Central Business District, Nairobi","7/1/2017 - 9/30/2017, Every day",347,151,795
"Early Morning","258","Westlands, Nairobi","192","Central Business District, Nairobi","7/1/2017 - 9/30/2017, Every day",262,125,549
