"Time Of Day","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Daily Average","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2017 - 3/31/2017, Every day",,,
"AM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2017 - 3/31/2017, Every day",570,259,1253
"Midday","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2017 - 3/31/2017, Every day",604,274,1331
"PM Peak","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2017 - 3/31/2017, Every day",728,286,1853
"Evening","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2017 - 3/31/2017, Every day",358,157,817
"Early Morning","258","Westlands, Nairobi","192","Central Business District, Nairobi","1/1/2017 - 3/31/2017, Every day",276,126,603
