"Day Of Week","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"Monday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",622,256,1510
"Tuesday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",632,265,1507
"Wednesday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",688,286,1654
"Thursday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",659,275,1579
"Friday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",585,239,1434
"Saturday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",403,174,934
"Sunday","258","Westlands, Nairobi","192","Central Business District, Nairobi","4/1/2018 - 6/30/2018, Daily Average",283,132,608
